Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Status Category,Status Category Changed
In Goods return note lot no missing [ CONF. by  SFG] ,SFG-19,10283,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,24/Feb/25 3:10 PM,11/Mar/25 3:05 PM,08/Apr/25 11:06 PM,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,11/Mar/25 3:05 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG5.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10404,24/Feb/25 3:10 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_37.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10276,,,,,,,,,,,,,,,,,,0|i001qn:,,,,,,,,,,,,2025-03-09 08:47:16.099,,"09/Mar/25 2:47 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;This  is old issue , which have no lot no. See the image

!SFG5.PNG|width=640,height=345,alt=""SFG5.PNG""!",To Do,24/Feb/25 3:10 PM
Stock verfication  doesn't load in Barcode Wise Stock Count ,SFG-18,10282,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,24/Feb/25 1:28 PM,09/Mar/25 2:49 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,24/Feb/25 1:28 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_36.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10275,,,,,,,,,,,,,,,,,,,0|i001qf:,,,,,,,,,,,,2025-03-09 08:49:30.415,,09/Mar/25 2:49 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;First You Should Add Stock verfication Type,To Do,24/Feb/25 1:28 PM
Stock Verification dropdown doesn't load after selecting company name in Stock verification  datac entry ,SFG-17,10281,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,24/Feb/25 12:55 PM,09/Mar/25 2:58 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,24/Feb/25 12:54 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_34.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10274,,,,,,,,,,,,,,,,,,,0|i001q7:,,,,,,,,,,,,2025-03-09 08:50:44.914,,09/Mar/25 2:50 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;Similarly First You Should Add Stock Verfication Type,To Do,24/Feb/25 12:55 PM
Company id doesn't load in Stock Verification data entry sheet ,SFG-16,10280,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,24/Feb/25 12:52 PM,09/Mar/25 2:58 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,24/Feb/25 12:52 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_33.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10273,,,,,,,,,,,,,,,,,,,0|i001pz:,,,,,,,,,,,,2025-03-09 08:58:52.372,,09/Mar/25 2:58 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;First Add Stock verification Type. and This screen no need for company Wise modification. Because new methodology to stock verification is Barcode Wise Stock count.,To Do,24/Feb/25 12:52 PM
Report doesn't comes up from stock reconciliation report ,SFG-15,10279,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,24/Feb/25 12:26 PM,09/Mar/25 4:11 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,09/Mar/25 4:09 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10371,,,,,,,,,,,,,,,,,,,0|i001pr:,,,,,,,,,,,,2025-03-09 10:09:35.475,,"09/Mar/25 4:09 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;It Is Your System environment Problem. Please See this screenshot

!SFG.PNG|width=747,height=619,alt=""SFG.PNG""!",To Do,24/Feb/25 12:26 PM
Daily stock transactyion report shows some errors ,SFG-14,10278,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,24/Feb/25 12:15 PM,09/Mar/25 4:12 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,09/Mar/25 4:12 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG2.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10372,24/Feb/25 12:15 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_32.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10272,,,,,,,,,,,,,,,,,,0|i001pj:,,,,,,,,,,,,2025-03-09 10:12:46.846,,"09/Mar/25 4:12 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;It Is Your System environment Problem. Please See this screenshot 

!SFG2.PNG|width=793,height=619,alt=""SFG2.PNG""!",To Do,24/Feb/25 12:15 PM
In item wise stock listing report > location is missing ,SFG-13,10277,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,23/Feb/25 4:06 PM,11/Mar/25 3:17 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,11/Mar/25 3:17 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG6.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10405,23/Feb/25 4:05 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_31.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10244,,,,,,,,,,,,,,,,,,0|i001pb:,,,,,,,,,,,,2025-03-11 09:17:47.254,,"11/Mar/25 3:17 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;Some Item Code have no location. See this screen

!SFG6.PNG|width=666,height=418,alt=""SFG6.PNG""!",To Do,23/Feb/25 4:06 PM
Costing Details Report > Report is not properly aligned ,SFG-12,10276,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,23/Feb/25 1:25 PM,11/Mar/25 3:21 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,23/Feb/25 1:25 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_30.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10243,,,,,,,,,,,,,,,,,,,0|i001p3:,,,,,,,,,,,,2025-03-11 09:21:42.639,,11/Mar/25 3:21 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;Costing Details Report have no modification. this report no more used.,To Do,23/Feb/25 1:25 PM
Daily Validation Report is showing run time error and automatic closes the software ,SFG-11,10275,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,23/Feb/25 8:28 AM,11/Mar/25 3:29 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,11/Mar/25 3:29 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG7.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10406,11/Mar/25 3:29 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG8.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10407,23/Feb/25 8:28 AM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_29.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10242,,,,,,,,,,,,,,,,,0|i001ov:,,,,,,,,,,,,2025-03-11 09:29:25.13,,"11/Mar/25 3:29 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;* It is your Environment Problem, Category Wise Data show. See this screen 

!SFG7.PNG|width=629,height=443,alt=""SFG7.PNG""!

!SFG8.PNG|width=613,height=254,alt=""SFG8.PNG""!",To Do,23/Feb/25 8:28 AM
"Link FG to [SG ], [Sampale] Description spelling mistake ",SFG-10,10274,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,22/Feb/25 4:17 PM,11/Mar/25 3:30 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,22/Feb/25 4:17 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_28.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10241,,,,,,,,,,,,,,,,,,,0|i001on:,,,,,,,,,,,,2025-03-11 09:30:34.797,,11/Mar/25 3:30 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;This Screen have no modification For Company.,To Do,22/Feb/25 4:17 PM
"Lot No , Box No needs to be in Internal Dispatch Note ",SFG-9,10273,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,22/Feb/25 12:48 PM,12/Mar/25 8:36 AM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,22/Feb/25 12:48 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_27.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10240,,,,,,,,,,,,,,,,,,,0|i001of:,,,,,,,,,,,,2025-03-12 02:35:49.809,,12/Mar/25 8:35 AM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;It is Packing Application Part . Which is already Published. and user not showing this report.User use another report.,To Do,22/Feb/25 12:48 PM
lot no and box no is missing in  Print SFG dispatch ,SFG-8,10272,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,22/Feb/25 8:40 AM,11/Mar/25 3:37 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,11/Mar/25 3:37 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG9.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10408,22/Feb/25 8:40 AM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_26.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10239,,,,,,,,,,,,,,,,,,0|i001o7:,,,,,,,,,,,,2025-03-11 09:37:33.07,,"11/Mar/25 3:37 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;This option are no more working. Because It is cover by SFG barcode system. In this screenshot you can see this lot no an barcode box sticker which are highlighted by yellow color.

!SFG9.PNG|width=1088,height=497,alt=""SFG9.PNG""!",To Do,22/Feb/25 8:40 AM
"Company name spelling mistake (Apparel ) , Dispatch spelling mistake ",SFG-7,10271,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,22/Feb/25 8:29 AM,12/Mar/25 8:58 AM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,12/Mar/25 8:55 AM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG11.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10437,12/Mar/25 8:58 AM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG12.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10438,,,,,,,,,,,,,,,,,,0|i001nz:,,,,,,,,,,,,2025-03-12 02:55:11.192,,"12/Mar/25 8:55 AM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;See this screenshot. Apperal is also correct.Dispatch is also Correct.

!SFG12.PNG|width=594,height=421,alt=""SFG12.PNG""!

!SFG11.PNG|width=622,height=435,alt=""SFG11.PNG""!",To Do,22/Feb/25 8:29 AM
Accept Excess Qty Request (Manager Approval) > No Job is loading ,SFG-6,10270,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,22/Feb/25 8:27 AM,11/Mar/25 3:56 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001nr:,,,,,,,,,,,,2025-03-11 09:56:22.346,,11/Mar/25 3:56 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;Hear a condition need to fill up When request qty greater than order qty. only 5% request qty exceed order qty. This time need manager approval.,To Do,22/Feb/25 8:27 AM
report> print packing list > data is not loading section wise ,SFG-5,10269,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,20/Feb/25 12:29 PM,12/Mar/25 8:34 AM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001nj:,,,,,,,,,,,,2025-03-12 02:34:29.144,,12/Mar/25 8:34 AM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;It is Packing Application Part . Which is already Published.,To Do,20/Feb/25 12:29 PM
Garments Jobs > is not loading in issue packed to semi finished goods store ,SFG-4,10268,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,20/Feb/25 12:15 PM,20/Feb/25 12:15 PM,,,,0,,,Naturub IT Support,,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001nb:,,,,,,,,,,,,,,,To Do,20/Feb/25 12:15 PM
Wrong popup message shows after creating a SFG barcode generate ,SFG-3,10267,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,20/Feb/25 12:01 PM,11/Mar/25 4:01 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,11/Mar/25 4:01 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG10.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10409,20/Feb/25 12:01 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_25.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10238,,,,,,,,,,,,,,,,,,0|i001n3:,,,,,,,,,,,,2025-03-09 09:38:40.542,,"09/Mar/25 3:38 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;This Is System Validation. Here Gross weight 0. 

!SFG10.PNG|width=757,height=338,alt=""SFG10.PNG""!",To Do,20/Feb/25 12:01 PM
dispatch qty is showing error merging with job qty,SFG-2,10266,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,20/Feb/25 11:52 AM,09/Mar/25 3:06 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,20/Feb/25 11:52 AM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_24.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10237,,,,,,,,,,,,,,,,,,,0|i001mv:,,,,,,,,,,,,2025-03-09 09:06:36.787,,09/Mar/25 3:06 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;This is validation. First You should add to grid date. ,To Do,20/Feb/25 11:52 AM
Tools > SFG barcode Sticker  generate > System crash if the screen idle  for few minutes ,SFG-1,10265,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,20/Feb/25 11:21 AM,11/Mar/25 4:03 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001mn:,,,,,,,,,,,,2025-03-11 10:03:38.371,,11/Mar/25 4:03 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;Session time out. need to login again.,To Do,20/Feb/25 11:21 AM
